Adult (15) literacy rate;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Liechtenstein;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Lithuania;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.4412675;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.64575347;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.70355
Luxembourg;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.5
Macao. China;-1;-1;-1;-1;-1;-1;90.3781843;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;91.29537204;-1;-1;-1;-1;93.49975453;-1;-1;-1;-1;95.64004085
Macedonia. FYR;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;94.05874638;-1;-1;-1;-1;-1;-1;-1;96.12893276;-1;-1;-1;-1;-1;-1;-1;-1;97.3752
Madagascar;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;70.68616958;-1;-1;-1;-1;-1;-1;-1;-1;64.48090564;-1;64.48090564
Malawi;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;48.53665373;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;64.13425114;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;61.30972419;61.30972419
Malaysia;-1;-1;-1;-1;-1;69.5163325;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;82.91537125;-1;-1;-1;-1;-1;-1;-1;-1;88.68775716;-1;-1;-1;-1;-1;-1;-1;-1;-1;93.11788558;93.11788558
Maldives;-1;-1;82.29995515;-1;-1;-1;-1;-1;-1;-1;92.23005103;-1;-1;-1;-1;96.01825636;-1;-1;-1;-1;96.32649558;-1;-1;-1;-1;96.32649558;-1;-1;-1;-1;-1;98.39789794;-1;-1;-1;-1;98.39789794
Mali;-1;9.433807008;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.04497166;-1;-1;-1;-1;24;-1;-1;26.17655464;-1;-1;-1;31.09975395;33.44121231
Malta;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.98217348;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.86869664;-1;-1;-1;-1;-1;-1;-1;-1;-1;92.36309006;-1;-1;-1;-1;-1;92.36309006
Marshall Islands;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mauritania;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;51.20767798;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;58.61391
Mauritius;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;79.86865973;-1;-1;-1;-1;-1;-1;-1;-1;-1;84.30308904;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;88.84715
Mexico;-1;-1;-1;-1;-1;82.98924182;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.55615211;-1;-1;-1;-1;-1;-1;-1;-1;-1;90.53562478;-1;90.27465487;-1;90.95374472;91.63026578;91.73451979;92.79517345;92.92559652;93.44187884;93.06893868;93.51998478
Micronesia. Fed. Sts.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Moldova;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.37754811;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.65379665;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.97083
Monaco;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
Mongolia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.7688517;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.35589
Montenegro;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.45932
Montserrat;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Morocco;-1;-1;-1;-1;-1;-1;-1;30.25780422;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41.59410541;-1;-1;-1;-1;-1;-1;-1;-1;-1;52.30625903;-1;-1;-1;55.14792003;56.08367213;-1;67.08416203
Mozambique;-1;-1;-1;-1;-1;27.1017784;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38.70787656;-1;-1;-1;-1;-1;48.15883992;-1;-1;-1;-1;-1;50.58381136;-1;50.58381136
Myanmar;-1;-1;-1;-1;-1;-1;-1;-1;78.57041431;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;89.94176457;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;92.67915
Namibia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;75.8165833;-1;-1;-1;-1;-1;-1;-1;-1;-1;85.04128186;-1;-1;-1;-1;-1;76.48659394;-1;-1;-1;76.48659394
Nauru;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.5
Nepal;-1;-1;-1;-1;-1;-1;20.5736734;-1;-1;-1;-1;-1;-1;-1;-1;-1;32.97558613;-1;-1;-1;-1;-1;-1;-1;-1;-1;48.60897151;-1;-1;-1;-1;-1;-1;-1;-1;-1;57.36910244
Netherlands;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
Netherlands Antilles;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;95.10354766;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.54464
New Zealand;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Nicaragua;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;76.67712636;-1;-1;-1;78.00298018;-1;-1;-1;-1;-1;-1
Niger;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9.391331152;-1;-1;-1;28.67242221;-1;-1;-1;-1;-1;-1
Nigeria;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;55.4467549;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;54.77317856;-1;-1;-1;-1;51.07765836;-1;-1;-1
Niue;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Norway;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Oman;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;81.36331243;-1;-1;-1;-1;86.62114302;-1;86.9389984;86.9389984
Pakistan;-1;-1;-1;-1;-1;-1;25.72519295;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;42.69930972;-1;-1;-1;-1;-1;-1;49.87364482;54.1512107;-1;55.526367;54.89263615;-1;54.89263615
Palau;-1;-1;-1;-1;-1;91.92141563;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Panama;-1;-1;-1;-1;-1;88.0717369;-1;-1;-1;-1;-1;-1;-1;-1;-1;88.77985851;-1;-1;-1;-1;-1;-1;-1;-1;-1;91.89961503;-1;-1;-1;-1;-1;-1;-1;-1;-1;94.09412379;94.09412379
Papua New Guinea;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;57.3432559;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;62.42167
Paraguay;-1;-1;-1;-1;-1;-1;-1;78.45861285;-1;-1;-1;-1;-1;-1;-1;-1;-1;90.27182487;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;94.55821823;93.29208399;93.75423788;93.87091509;93.87091509
Peru;-1;-1;-1;-1;-1;-1;81.91846409;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.15063273;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.6698485;87.90867359;88.69934183;89.59081302;-1;-1;-1;89.59081302
Philippines;-1;-1;-1;-1;-1;83.31723259;-1;-1;-1;-1;-1;-1;-1;-1;-1;93.57389552;-1;-1;-1;-1;-1;-1;-1;-1;-1;92.60006358;-1;-1;92.59069009;-1;-1;-1;-1;95.4200993;-1;-1;-1
Poland;-1;-1;-1;98.74274091;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.40273;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.61789;-1;-1;-1;-1;-1;-1;99.73019
Portugal;-1;-1;-1;-1;-1;-1;79.43561066;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.94784765;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;95.43412
Puerto Rico;-1;-1;-1;-1;-1;86.74605532;-1;-1;-1;-1;-1;-1;-1;-1;-1;89.62250063;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;90.53578;-1;-1;-1;-1;-1;-1;90.34799
Qatar;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;75.63504406;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;83.26215527;-1;-1;-1;-1;-1;-1;88.96238968;-1;-1;93.08274078;93.98973253;94.72428844;96.28373979;93.08274078
Romania;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.70998266;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.29758531;-1;-1;-1;-1;-1;-1;-1;-1;97.70193
Russia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.98605483;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.44096771;-1;-1;-1;-1;-1;-1;-1;99.6842667;99.6842667
Rwanda;-1;-1;-1;38.2434252;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;57.85348773;-1;-1;-1;-1;-1;-1;-1;-1;64.88859517;-1;-1;-1;-1;-1;-1;-1;-1;-1;65.85227166;65.85227166
Saint Kitts and Nevis;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Saint Lucia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Saint Vincent and the Grenadines;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Samoa;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.9443299;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.55447;-1;-1;-1;-1;-1;-1;98.83078
San Marino;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Sao Tome and Principe;-1;-1;-1;-1;-1;-1;57.32426216;-1;-1;-1;-1;-1;-1;-1;-1;-1;73.24241599;-1;-1;-1;-1;-1;-1;-1;-1;-1;84.90851353;-1;-1;-1;-1;-1;-1;69.53638509;-1;-1;69.53638509
Saudi Arabia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;70.82164992;-1;-1;-1;-1;-1;-1;-1;79.35094415;-1;-1;-1;82.85774184;-1;-1;-1;-1;-1;-1;87.15616
Senegal;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.86885372;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39.27524619;-1;-1;-1;41.89115164;-1;-1;49.69512652;-1;49.69512652
Serbia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.01291
Seychelles;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;84.22921568;-1;-1;-1;-1;-1;-1;87.81115037;-1;-1;-1;-1;-1;-1;-1;91.83646335;-1;-1;-1;-1;-1;-1;-1;-1;91.83646335
Sierra Leone;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;34.82679013;-1;-1;-1;-1;-1;-1;43.2831
Singapore;-1;-1;-1;-1;-1;82.90605183;-1;-1;-1;-1;-1;-1;-1;-1;-1;89.09599671;-1;-1;-1;-1;-1;-1;-1;-1;-1;92.54939909;-1;-1;-1;-1;-1;-1;-1;-1;-1;95.85732781;-1
Slovak Republic;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.6
Slovenia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.52451667;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.65247;-1;-1;-1;-1;-1;-1;99.69498
Solomon Islands;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Somalia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;37.8
South Africa;-1;-1;-1;-1;-1;76.20049065;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;82.40210237;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;88.71725067;-1;-1;-1;92.98314017
Spain;-1;-1;-1;-1;-1;-1;92.80976506;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.49497052;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.75069178;-1;97.93884242;97.63060774;97.67926561;97.74889615;97.74889615
Sri Lanka;-1;-1;-1;-1;-1;-1;86.77792201;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;90.68275459;-1;-1;-1;-1;90.80882594;-1;90.55795051;-1;91.18135934;91.18135934
Sudan;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;61.34587311;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;71.93777
Suriname;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;89.59805762;-1;-1;-1;94.62093774;-1;94.67575059;94.67575059
Swaziland;-1;55.32503727;-1;-1;-1;-1;-1;-1;-1;-1;-1;67.23938115;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;81.66070182;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.8443
Sweden;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
Switzerland;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
Syria;-1;-1;-1;-1;-1;-1;55.65450081;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;82.88825153;-1;80.84451928;-1;-1;-1;-1;-1;-1;84.05794
Tajikistan;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.69402291;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.45124826;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.70706
Tanzania;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;59.11380352;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;69.43090038;-1;-1;-1;-1;-1;-1;-1;67.80070096;67.80070096
Thailand;-1;-1;-1;-1;-1;87.98176042;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;92.64654423;-1;-1;-1;-1;93.50647575;-1;-1;-1;-1;-1;93.50647575
Timor-Leste;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;37.6;-1;-1;-1;-1;-1;50.6;-1;-1;58.3089828;-1
Togo;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;53.1775995;-1;-1;-1;-1;-1;56.8883677;-1;-1;57.09337923;-1;60.40994467
Tokelau;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Tonga;-1;99.59245833;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.90537331;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.01845558;-1;-1;-1;-1;-1
Trinidad and Tobago;-1;-1;-1;-1;-1;94.97031903;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.93855267;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.38787;-1;-1;-1;-1;-1;-1;98.83491
Tunisia;-1;-1;-1;-1;-1;-1;-1;-1;-1;48.19070196;-1;-1;-1;-1;-1;-1;-1;-1;-1;59.23281;-1;-1;-1;-1;-1;-1;-1;-1;-1;74.29699538;-1;-1;77.19040215;77.56113139;-1;79.13057625;-1
Turkey;61.62768343;-1;-1;-1;-1;65.69433989;-1;-1;-1;-1;75.96824056;-1;-1;-1;-1;79.23245261;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.36548905;88.2290562;88.11938681;88.65589759;-1;90.81672065;92.66059985;94.1060912
Turkmenistan;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.77831676;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.60858
Turks and Caicos Islands;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Tuvalu;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Uganda;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;56.10738185;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;68.1425103;-1;-1;-1;71.37314464;-1;-1;-1;73.21187991;73.21187991
Ukraine;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.43041041;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.71874
United Arab Emirates;53.51487935;-1;-1;-1;-1;-1;-1;-1;-1;-1;71.23529682;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;90.03384502;-1;-1;-1;-1;-1;90.03384502
United Kingdom;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.9
United States;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.9
Uruguay;93.86107419;-1;-1;-1;-1;-1;-1;-1;-1;-1;95.37997554;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;96.7818093;-1;-1;-1;-1;-1;-1;-1;-1;-1;97.78963211;97.86389135;98.16356073;98.26789838;98.07270629;-1
Uzbekistan;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;98.64258347;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.43299
Vanuatu;-1;-1;-1;-1;52.87392248;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;68.44709;-1;-1;-1;-1;74;-1;-1;-1;-1;78.12244;-1;-1;-1;-1;-1;-1;83.22246
Venezuela;-1;-1;-1;-1;-1;-1;84.73220459;-1;-1;-1;-1;-1;-1;-1;-1;89.82525312;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;92.97983326;-1;-1;-1;-1;-1;95.15463963;-1;95.51199392;-1;-1
West Bank and Gaza;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;86.0628856;-1;-1;-1;-1;-1;-1;92.27997417;-1;93.44996616;93.88213545;94.05865254;94.59916759;94.9320113;95.26724225
Vietnam;-1;-1;-1;-1;83.82593952;-1;-1;-1;-1;-1;-1;-1;-1;-1;87.59645062;-1;-1;-1;-1;-1;-1;-1;-1;-1;90.27829948;90.15612936;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;93.35947
Yemen. Rep.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;37.09000403;-1;-1;-1;-1;-1;-1;-1;-1;-1;54.74552;-1;-1;-1;-1;-1;-1;65.26195
Zambia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;64.99826421;-1;-1;-1;-1;-1;-1;-1;-1;68.00179121;-1;-1;69.14921813;-1;-1;-1;-1;61.4282878;-1;-1;-1;61.4282878
Zimbabwe;-1;-1;-1;-1;-1;-1;-1;77.79416632;-1;-1;-1;-1;-1;-1;-1;-1;-1;83.51257977;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;83.58271445
Abkhazia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Akrotiri and Dhekelia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
American Samoa;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Channel Islands;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Christmas Island;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Cocos Island;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Czechoslovakia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
East Germany;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
